id,target
boostcamp-sts-v1-test-000,4.0
boostcamp-sts-v1-test-001,4.3
boostcamp-sts-v1-test-002,0.9
boostcamp-sts-v1-test-003,0.3
boostcamp-sts-v1-test-004,3.9
boostcamp-sts-v1-test-005,3.2
boostcamp-sts-v1-test-006,4.3
boostcamp-sts-v1-test-007,0.7
boostcamp-sts-v1-test-008,0.5
boostcamp-sts-v1-test-009,4.3
boostcamp-sts-v1-test-010,2.8
boostcamp-sts-v1-test-011,4.0
boostcamp-sts-v1-test-012,0.6
boostcamp-sts-v1-test-013,3.3
boostcamp-sts-v1-test-014,2.1
boostcamp-sts-v1-test-015,4.3
boostcamp-sts-v1-test-016,4.3
boostcamp-sts-v1-test-017,4.1
boostcamp-sts-v1-test-018,4.2
boostcamp-sts-v1-test-019,4.1
boostcamp-sts-v1-test-020,2.2
boostcamp-sts-v1-test-021,2.3
boostcamp-sts-v1-test-022,1.4
boostcamp-sts-v1-test-023,0.5
boostcamp-sts-v1-test-024,2.4
boostcamp-sts-v1-test-025,0.9
boostcamp-sts-v1-test-026,1.1
boostcamp-sts-v1-test-027,1.5
boostcamp-sts-v1-test-028,3.9
boostcamp-sts-v1-test-029,4.2
boostcamp-sts-v1-test-030,4.1
boostcamp-sts-v1-test-031,0.5
boostcamp-sts-v1-test-032,1.8
boostcamp-sts-v1-test-033,3.8
boostcamp-sts-v1-test-034,3.9
boostcamp-sts-v1-test-035,0.4
boostcamp-sts-v1-test-036,3.7
boostcamp-sts-v1-test-037,0.3
boostcamp-sts-v1-test-038,0.4
boostcamp-sts-v1-test-039,3.1
boostcamp-sts-v1-test-040,0.8
boostcamp-sts-v1-test-041,4.1
boostcamp-sts-v1-test-042,0.3
boostcamp-sts-v1-test-043,1.1
boostcamp-sts-v1-test-044,1.5
boostcamp-sts-v1-test-045,4.3
boostcamp-sts-v1-test-046,0.4
boostcamp-sts-v1-test-047,2.1
boostcamp-sts-v1-test-048,0.4
boostcamp-sts-v1-test-049,2.8
boostcamp-sts-v1-test-050,0.3
boostcamp-sts-v1-test-051,1.4
boostcamp-sts-v1-test-052,4.1
boostcamp-sts-v1-test-053,3.2
boostcamp-sts-v1-test-054,4.2
boostcamp-sts-v1-test-055,2.5
boostcamp-sts-v1-test-056,4.0
boostcamp-sts-v1-test-057,1.5
boostcamp-sts-v1-test-058,3.6
boostcamp-sts-v1-test-059,4.1
boostcamp-sts-v1-test-060,4.1
boostcamp-sts-v1-test-061,1.8
boostcamp-sts-v1-test-062,2.7
boostcamp-sts-v1-test-063,0.9
boostcamp-sts-v1-test-064,2.4
boostcamp-sts-v1-test-065,4.2
boostcamp-sts-v1-test-066,2.6
boostcamp-sts-v1-test-067,0.5
boostcamp-sts-v1-test-068,2.4
boostcamp-sts-v1-test-069,2.0
boostcamp-sts-v1-test-070,0.4
boostcamp-sts-v1-test-071,3.5
boostcamp-sts-v1-test-072,4.1
boostcamp-sts-v1-test-073,4.1
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,2.9
boostcamp-sts-v1-test-076,4.1
boostcamp-sts-v1-test-077,1.2
boostcamp-sts-v1-test-078,0.9
boostcamp-sts-v1-test-079,4.3
boostcamp-sts-v1-test-080,1.5
boostcamp-sts-v1-test-081,1.3
boostcamp-sts-v1-test-082,3.5
boostcamp-sts-v1-test-083,2.6
boostcamp-sts-v1-test-084,1.3
boostcamp-sts-v1-test-085,4.2
boostcamp-sts-v1-test-086,3.9
boostcamp-sts-v1-test-087,0.7
boostcamp-sts-v1-test-088,4.0
boostcamp-sts-v1-test-089,4.2
boostcamp-sts-v1-test-090,4.1
boostcamp-sts-v1-test-091,1.9
boostcamp-sts-v1-test-092,0.5
boostcamp-sts-v1-test-093,3.9
boostcamp-sts-v1-test-094,4.2
boostcamp-sts-v1-test-095,1.2
boostcamp-sts-v1-test-096,3.5
boostcamp-sts-v1-test-097,2.7
boostcamp-sts-v1-test-098,0.3
boostcamp-sts-v1-test-099,1.4
boostcamp-sts-v1-test-100,3.1
boostcamp-sts-v1-test-101,4.2
boostcamp-sts-v1-test-102,4.2
boostcamp-sts-v1-test-103,3.8
boostcamp-sts-v1-test-104,3.2
